time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.26933561414e-08,-9.12514290227e-08,10.0030036673,6.28298462092,6.28284171242,0.0,1.52807427407e-05,-1.22409193493e-05,0.100117975136,-0.0110527735168,-0.0207777797053,0.0,438.1259200402143,436.3953848470255,437.07388214189933,436.1519775535413
0.12000000000000001,1.23506456456e-05,-7.3071002153e-06,10.011332127,6.28229568426,6.2816957847,0.0,0.000512813606359,-0.000294969998434,0.17748773231,-0.0123554158358,-0.0159364118728,0.0,428.95318071749614,429.3640682025512,430.2506159741851,430.1404531735332
0.18,7.82561729387e-05,-4.61345691439e-05,10.0253805709,6.28197036459,6.28067751689,0.0,0.00178656200856,-0.00105187948989,0.29077073863,0.00572199852315,-0.0191251743398,0.0,441.4673383417841,441.20426847027994,440.1996678211521,441.6928681508335
0.23999999999999996,0.000237540630569,-0.000131089949955,10.0442907073,6.28250577433,6.27924715764,0.0,0.00364247931147,-0.00173783536915,0.339553174438,0.014660717638,-0.035500888771,0.0,420.8103302799509,419.3904842821384,420.38507492826454,421.15867377992845
0.3,0.000551643583292,-0.000246871732937,10.0691339542,7.41515850429e-05,6.27739711725,0.0,0.00704335895912,-0.00203189763258,0.488501601581,0.00799229937574,-0.0228380388548,0.0,451.99461207177904,453.0134747750753,452.38502215333256,451.8477188487597
0.36000000000000004,0.00110009511091,-0.000365176765151,10.1019577595,0.000717385670943,6.27728285,0.0,0.0112975631996,-0.00185241375988,0.605569552351,0.0156840673801,0.0226897585069,0.0,440.4418106819077,444.1906450824523,442.47292075276044,443.10548041487334
0.4200000000000001,0.0018889457179,-0.000458644524765,10.1402657543,0.00184550571487,6.27851441248,0.0,0.0148711752876,-0.00116230795329,0.67132743839,0.0244038087804,0.0158039061656,0.0,426.66445095827504,426.0762496224333,425.84396717241816,426.58906267392814
0.48000000000000015,0.0028633731962,-0.000489630717104,10.1811726643,0.00337526002905,6.27905108895,0.0,0.0175373939271,0.000264654981117,0.692223637472,0.0275949398252,-0.0105716517327,0.0,413.27807462538766,410.94700953522744,410.77250029762615,411.0555237717776
0.5400000000000001,0.00402191674835,-0.000381022466536,10.230218984,0.00461598890324,6.27889759748,0.0,0.0211245643119,0.00354229636145,0.942480173266,0.000916725365771,0.00995748540181,0.0,481.86535028420343,483.41459553069285,483.8675026162365,481.85516791156317
0.6000000000000002,0.00537323012605,-7.44098937733e-05,10.2891677324,0.00557764374578,6.27918921079,0.0,0.0238722128239,0.00673829543603,1.02240954654,0.0359948304409,-0.00803167939541,0.0,432.16807271725435,430.6492605518573,429.91155414261726,432.87317400496454
0.6600000000000003,0.00689351651207,0.000458838752047,10.3543745791,0.00802073895048,6.27863364224,0.0,0.0268584713914,0.0112818754508,1.15102919336,0.0487970251423,-0.0118356800892,0.0,447.06650805358714,446.7566109018409,446.47860797959305,447.52259446652107
0.7200000000000003,0.00862659839698,0.00135868860844,10.4317854899,0.0111460022843,6.27809465666,0.0,0.0309889536265,0.0190998181532,1.42902540913,0.0579662727067,-0.00381404568914,0.0,491.25988683114105,491.85438694239235,491.0172100103591,491.69835464333863
0.7800000000000004,0.0106260802469,0.0028264921654,10.5271733167,0.0144839411556,6.27786117048,0.0,0.0356893250965,0.0302815377239,1.75012846331,0.050502068916,-0.0040466789774,0.0,504.0800387849359,504.06330544680446,504.48654079261354,503.9490311747941
0.8400000000000004,0.0128820266807,0.00496427082345,10.6358565106,0.0173109918358,6.27752550761,0.0,0.0395380762872,0.0412843009573,1.87244699756,0.0393062669269,-0.00888500058409,0.0,447.72040260257336,447.3267046258178,446.7968802361833,445.8845378743934
0.9000000000000005,0.0153726975633,0.00780725644305,10.7511387808,0.0191353489087,6.27718328387,0.0,0.0435271410859,0.0537051480131,1.97012720513,-0.00078559058095,1.03298750135e-06,0.0,439.93434359638576,440.66954464646494,440.6120187469005,437.2854177704614
0.9600000000000005,0.0181182407041,0.0114568301214,10.8740271204,0.0190380365566,6.27672486367,0.0,0.0480057678496,0.06793401792,2.12587387011,-0.00334934701727,-0.0308596477282,0.0,458.87397927841283,456.41779146062544,458.43699699638665,458.2332862383685
1.0200000000000005,0.0211464950446,0.0159485945924,11.0057993872,0.018851290342,6.27552417123,0.0,0.0530926315729,0.0817652756716,2.26626603792,-0.00264274626109,-0.00422765823349,0.0,453.4131975181691,455.547596807312,453.27312927810567,453.3299704335514
1.0800000000000005,0.0244711614567,0.0211940988854,11.1421576807,0.0187758032338,6.27508531084,0.0,0.0577594180613,0.0930738774354,2.2789845492,0.00137670832541,-0.0143400047152,0.0,414.5339621492013,413.6445209538138,412.7034017203006,413.0580389200869
1.1400000000000006,0.0280779654489,0.0271015138311,11.278392428,0.0195122856903,6.2746411327,0.0,0.0625205578607,0.103880093721,2.26220535891,0.0281134893107,0.00374553170703,0.0,402.23491115630645,403.8694762041178,402.7167501962271,405.1278365807716
1.2000000000000006,0.0320207604655,0.0337806665582,11.4189898198,0.0211031321436,6.27460489283,0.0,0.0688905045787,0.118933950246,2.42404098854,0.0231069331978,-0.011153647567,0.0,461.0781985757665,459.89967385672753,461.66781921454475,461.272758683844
1.2600000000000007,0.036370568567,0.0414489607085,11.5716299368,0.0233415468106,6.27361317712,0.0,0.0761964972254,0.136897837706,2.66342960095,0.0564420388077,-0.0303479185233,0.0,485.0509535082561,483.60746433464874,483.4619504333978,485.96748154908914
